text,sentiment
"morning tackle armhole prob - may solution involving tape, update you!",neutral
rome without ceasar,neutral
dad bought they`re tricky language tho,neutral
blood drive area. i`ll keep looking.,neutral
meeee too. listening sad music missing you. p -,negative
_zorz_peep count lucky gonna say word instead...and rsvp...sorry cant come ur birthday...day?,negative
whats rick??,neutral
still depressed feline fuzzball...it`s another trip vet tmrw see done...worried doesn`t even cover,negative
stupid wireless wont work downstairs,negative
home school today,neutral
"sound bit alan partridge a-ha! (good morning, way)",positive
"i`m totally addicted farm town. frankly, it`s fun fixing laptop studying disease kill u all.",neutral
follow because... don`t either way really cool tshirts hey johno x,positive
hate weather! u lived ure whole life u get used it...may always rainy,negative
guessed leg havent healed old injury still run though kick ball! haha. sometimes fell sharp pain,neutral
leaving wildwood tomorrow luke say back soon!,neutral
scary cape guy,negative
good. next time get oohed know go!,positive
hoping better trailer,positive
amost,neutral
"it`s good day! lake mirror, kid happy, get clean cabin today... err two outta three ain`t bad!",positive
sometimes hurt pet cant talk back us. pain. would tell us.,negative
"church, went mall parents, got new backpack fit schoolbook laptop",positive
can`t believe little brother married...,neutral
finally...the internet up. server phoenix **** up.,negative
cold,negative
mum loved camp rock mother day card gave her. knew would. happy mother day new zealand! haha ily lot ****,positive
"nice meet you. mike, video producer cf miami.",positive
left work. inventory way easy got put highschool musical 3 cd! amazing. goodnight goodnight everyone :],positive
loved book read host? amazing storyteller.,positive
don`t understand whole follow friday thing?,negative
watching movie playin computer.,neutral
i`m super tired probably could sleep day work 12:30 9:30 today tool rental... oh joy!!,negative
- shall post notice town u cork lady know watch out!! lol fun then?? seven business !! ;),neutral
happy mother day!,positive
: yes got lovey him& returned love&1thing led2 another& also wants2 know ur mad,positive
aww sorry boo. haven`t bought printer 4 years; canon i900d still making amazing prints. zero fisheye exp.,neutral
problem! box _made_ undernourished professional,positive
it`s blockbuster week new zealand - 'wolverine' tomorrow followed 'star trek' thursday!,positive
"oh, like amazing weekend, sunshine & part, white wine!! back rehearsal regime!! nice !!!",positive
- finito! hunk ah hunk burning love! believe camera phone stuffed. stupid blurryness,negative
hi.wanna see 17 ;) i`ll fly cali see,neutral
blogtv fun! can`t wait til next time,positive
work lunch. lot work enough help,negative
mmmm chocky cake oven.. smell delicious,positive
"well there`s you, another twiiter person...erm...difficult say really... let`s say could fit minibus!",negative
freaking tired. it`s like body refuse move.,negative
epic fail chocolate fountain got clogged,negative
wanna better already,positive
: fun focus grouping! participant yet..,positive
"thanks! trying.. (keeping chin up, ouch!)",neutral
gave regular coke instead diet. really??,neutral
playing new phone.. think got figured,neutral
omg... want full jb- hey baby song,neutral
tinkered open-source virtualbox &win7 yet? would`ve loved seen @ hay. always unfortunate timing student,neutral
think sun moon god`s way reminding u he`s always watching us.,neutral
watching twilight eating potato salad.,neutral
bed. cuppa. tv on... husband cooking... life sweet...,positive
"also: strategic plan map bus strategic needs, deliver value time? waterfall",neutral
_11 thanks. enjoy movie! hope well te.,positive
_am_umlaut oh no! i`m sorry hear,negative
"back @ home .. bathing kids, ironing clothes hubby .. nephew`s graduation tonight! remember 2!",neutral
"glad went out, glad didn`t leave early, glad afterpartying @ beth`s i`m back!",positive
texting,neutral
headache,negative
way school last friday high school ever! don`t even get see holly gabbie hannah,negative
better check youtube,neutral
cant get,negative
clubs...no parties...ive spent friday saturday night workin music quit content,neutral
whaaaat strong rain came u santa clara. wish could sleep got attend important meeting,negative
won`t reply,neutral
gps post prom,positive
watching one fav movie sparkle + go get food later!,positive
"hey, that`s bug! martini glass . . .",neutral
u who`s heart break little time year know loved next week new week.,neutral
rlly dead? descanse em paz...,negative
lol...i think it`s safe say alone thinking!,positive
"yo ,if guy want make road trip look waraw u wait long taipei",neutral
great weekend john-back work 3 day going illinois thurs & fri gig john,positive
"'the things, say, purple prose give away' hell even supposed mean? casino: music go die",negative
"dreamwidth, new journaling site went open beta.",neutral
florida nice.,positive
i`m getting cold,neutral
"bec v fat food --- winner = fat food weeknend, ill beat it!",neutral
i`m sad twits! i`m going miss musiq soulchild anthony hamilton! ugggghhhh love them!,neutral
school. blagh. yay i`m getting iphone august!!,positive
"who`s one always working now? oh yeah, still me.",neutral
oh.... great. think i`m getting sick.,neutral
"awe sorry, probably true.",positive
idea whether drink anymore...,neutral
sure want know? it`s - make want run. news: happy star war day!,positive
jus got done swimming! soon ima need stay outta sun,neutral
today celebrating two new people becoming australian citizens. hoping good dinner.,positive
heeeeey baby ? you?,neutral
contemplating whether go prom listen 80`s playlist. 'somethings tellin might you!' stephen bishop,neutral
home alone friday night doesnt get sadder folk,negative
back fine old melbourne town....,neutral
"_beez - i`m 20% hetero-challenged, still didn`t care 'milk'... thought boring.",negative
treat hair badly. it`s revenge turning grey prematurely,negative
"yeah, they`re great. think we`ll hear year come",positive
thanks advice! went doctor`s slept lot yesterday must meds.,positive
- prom. chaos began,negative
i`m mad cant go that...you`re like hour away me.,negative
mozert requiem tonight,neutral
miss good old days!,negative
birthday week today!,neutral
well normal day i`d already done work...unfortunately normal day. mean i`ll office till late.,negative
"last night long drive, slept really well, time dino`s wasstraat",positive
wish guy gotten video,positive
cool. i`m tempted see feel sorry jb though hardly people,neutral
haha ! go martin ! fixed ski like million time ...,positive
"noooo favorite coworker got new job, he`s marc jacob show now, fair! don`t want 2 go!",negative
bff rocking hotel california now. songs! done stay same. what`s next? hmmm.. careless whisper!,negative
nice one,positive
yes hate it...silly boy,negative
"btw, short notice know, we`re rsvping party- thanks much invitation, though! i`m 2nite",positive
i`m sorry lol! about? waitt... think mum would still let bday stuff weekend?,neutral
hey ****!! that`s kinda mean dont yu think?!,negative
_houdin blind faith. thats crack-up,negative
work afternoon,neutral
inconsiderate!,negative
aint bee aint me...ya heard me? u keemie,neutral
can`t take,negative
what?? can`t believe,negative
"nooooo! serena darrian don`t remember other, i`ve waiting day see confess love",neutral
got degree bs.,positive
", read article buying ip`s doesn`t necessary mean get developement team . mean ?",neutral
nite nite fellow tweeter goin put ipod n listen westlife missin guy headin sleep early start 7am x,neutral
thanks!!! ballroom dancing competition,positive
concur ! it`s priority today`s list,positive
"ohh shardup! hehe. hot lah, gotta admeeet! bleh.",neutral
dad`s feeling well. want make soup. suggestion guys? + get well soon ayah,negative
date hockey game confused they`re next week,negative
"well,only one week left holidays,sad sad",negative
karaoke small town bar. wonderful time!,positive
"care eurovision! yes, 50% jury-based vote year",positive
nothing like home-made paranthas breakfast,positive
"hey bettiye, see her. stay tuned video blog hows obsessed?? need get thru exam imma watch",neutral
_west music meant awesome christian artists.,positive
please don`t vote sympathy!,negative
love birdy nest! though already got u another kind,positive
missing lol. plaid bud. haha. **** can`t bg right.,negative
make **** happen *pu+ !+ 0n m3*,neutral
"y`all say so, trust one",neutral
oh yeah... happy mother day every mom friend`s mom,positive
"colleague 'helped' creating unit`s site iweb helpful. trash code, 24 c file 4 page site, optimizing.",negative
haha wow there`s song called `hit twitter` lmao. okay g`night,positive
jay leno one show left host tonight show,neutral
"fat-fingered coke machine, drinking diet pepsi instead diet dr. pepper. wish machine used error correction!",neutral
def want cuddle maybe play one bc far away,negative
work apparently sun shining valid excuse stay home,neutral
i`m grounded til tomorrow. sorry anyone made plan with. it`ll tomorrow. (annoyed),negative
watching fav movie...two play game! 'ever notice men start act around spring time?' shante smith,positive
hope roommate good morning without tp soap!,positive
"no, i`m u weekend uk",neutral
yeah... guess password also changed... able login fb cahnge pw ...ufff,neutral
yus! :3 really nice,positive
**** broke day guitar hero metallica come out! boooooooo,negative
follower me. wanna cool her. follow never happen.,neutral
revamping recording studio today adding nice high end outboard gear...very exited!,positive
"_esl doubt, wash separately normal concern something fading onto white.",neutral
cancel subscription today nzz economist office luckily also online version,neutral
"cleaning desk, i`ve found betting slip three month ago, stuck tenner getting relegated. money",neutral
fucken tired **** it`s sunny.. good day? deffff,negative
obvious holly go thru public vote straight away.. sooo obvious. aidan greg judge neither go,neutral
"awesome now, huh? lol",neutral
"thank chu?t ch?c v?y qu, hik, ch?c em ph?i ?i h?c 1 kha ph? c?p ki?n th?c c? kh g?p =.=",positive
hmmm essense award would fun... also pricy,positive
volunteering syndrome indiana wednesday,neutral
want katie.,neutral
filipino u say 'nakuh grabeh!' it`s like sayin omg,neutral
"sometimes wish man, could pee stand, scratch chest, instead? lie breast hah",negative
thats actually fun would think... hurting week similar experience.,negative
good morning,positive
feel like death evil headache need pack drive parents. bum.,negative
apparently star war day today - may 4th,neutral
"thought follow friday gaining new friends, losing them.",neutral
brings fair island today?,neutral
startin get head ache!!!! uuuggghh!!!,negative
going hidden-file you`re thinking youtube? nott! lol. hey put phone swimming,neutral
wish wasn`t raining,positive
don`t leave u,neutral
feel lost... keep running (in head) staring faces.. haha. basically:headache & eye hurt,negative
_ann_cole think thats right lol... please follow me... much appreciated,positive
love joan river say it`s family first.,positive
happy mother`s day mom`s! love mom,positive
hoping heal it`s anything put make worse. owww,neutral
omg! dont blame you! hope didnt hurt bad,positive
it`s cloudy damp too. hope doesnt rain tonite`s track meet i`d hate interview rain,positive
one estate agent next door caught singing along wham,neutral
actually done cousin,neutral
bad. thought talking today,negative
_lokelani idea!,neutral
britain ****,negative
trouble updating!!!,negative
sound input computer stop working? it`s mic jack (usb webcam mic doesn`t work either) checked input controls.,negative
heheh ....qualifying pretty exciting tho ..,positive
loveeee ny! getting breakfast gonna go mimis i`m sooo tiredddd! missing odeeee! love,neutral
know! got phone them. leave giant hole mill. + region also closed.,neutral
sizzling outside. work inside = double,neutral
"morning john, yes do, however diary clash sadly can`t attend!",neutral
i`m sorry. don`t understand people expect everyone react thing 'poise',negative
"need tickettttt gah. ya you`ve got there, reason346.. haven`t listened dear elliott weeks...overdue..",negative
didn`t!,neutral
"speaking which, need talk soon.",neutral
hi jonas brother came argentina la otra vez,neutral
_ don`t see could possibly another choice.,negative
"oh chris, sorry mr. raccoon. obviously female, cuz female specie would adore you. hugs, angel",neutral
home night hang mom study,neutral
i`m researching nyc stuff.,neutral
face arms. tragic. seriously.,negative
thats im driving cali july hin pleasanton.,neutral
"catching last bit later jools .. last series .. sob, cry",negative
man! can`t stop freakin` hungry!,neutral
goodness! go single **** go crazy! haha. **** this. like single much. want...holla!,positive
poop shirt insanely cracked screen iphone. daaaang.,negative
better nodding you`re 'in' one lol,neutral
- widescreen laptop + rotation + comic = awesome.,positive
"haha! yes, there`s lot said nekkid religion",neutral
lol... fine way weekend been?,positive
yes! definitely paid ... thanks 4 advice,positive
miss puppies...,negative
:kwanghock hao da za ji pa?? miss food much??,negative
omg 17 again... i`m buying dvd yeahness another good movie also thanks movie buddy :],positive
"cracking night last night, don`t think i`ve ever laughed much nice, lazy day today woop!",positive
best weekend ever xxxxxxxxxxxxxxxxxxxxxx,positive
playing man utd.kick 19:45.champions league 2nd leg.lol,neutral
glad home wish could make feel better,positive
horrible day.,negative
"might buy ipod apps later, hmmm...",neutral
get go home. i`m 10:30,neutral
dear! he`s here! omgogmgo.. u didn`t see going **** u..?,neutral
. awesome! kind?,positive
"fantastic weekend - hairdressers, stylish luncheon & fabulous girlie night wine, cheese & chocolates...and dancing till morning",positive
"iam eating pizza, want some??? haha..",neutral
"- well greatly appreciate comment. mean lot me. i`m working them...work progress, know.",positive
"hmmm, thought u sleeping!! bad can`t see video tomorrow night.",negative
haha nice know i`m alone! working bbc can`t see,positive
- haha love two girl,positive
twee tweet...lol,neutral
"sorry , chili cheese dogged without",negative
brittany moved,neutral
oh today sucks....,negative
grad present photo facebook,neutral
lol thanks!,positive
_ky_monkey hope u amazing day today monkey! u deserve it! cheating dew & looking picture! lol happy bday! <3,positive
hi name chelsea respect opinion come dwts. great too!,positive
laying bed boreddddd looking old cookbook new recipe,negative
sitting chloes little trike thingo girraffe ill probobly get yelled next minute so! ohhh well,neutral
geometry **** boring. waste time.. 20 minute left,negative
cant find red lighter reminds amy,neutral
sure willl ....,neutral
hate sat around alone friday night. big sad old loser,negative
good luck!!! keep rockin!,positive
_uppercut `old man` thing say,neutral
itt`s big time saturday night playing canasta movie then...psych homework? stay shiny love everybody!!,positive
_om 'if paint fingernail green- oh happens paint green...' marvelous,positive
born barn? would like hay? 8-)(8) youtube mother song,neutral
picked blackberry middle street! crushed!,negative
"got dark red hair dye, going get bleach",neutral
"booked ticket london thursday, i`m exicted",positive
that`s exactly feel. hope start feeling better soon.,positive
hope find store take u,neutral
everyone get one topic things!,neutral
"ah doesnt work want say love beach girl, guy acee! england love (: ****",positive
cant wait thing,positive
look like alison.,neutral
making breakfast .,neutral
perhaps it`s 3 minday morning,neutral
"i`m totally gutted, ended foot cast today can`t travel nottingham see guy ****",negative
reminder hydra client check email important account updates!,neutral
finallyy done !! done clean`n lay`n time 4 bed.. goshh 3 o`clock !! lol nite nite twitta head,neutral
sick + life i`m never going good want + need be. xoxoxo </3,negative
don`t like possibility left side brain hurting thing called vp shunt possible death,negative
it`s official- twilight saga ended...*sigh*...my life empty!,neutral
"feeling good all, happen today days? going friend tonight",positive
oh no! totally forgot played today.,negative
good morning! gym go,positive
ugh can`t breathe right today,negative
yay!! supposed next weekend. now. i`ma make there...i <3 philly.,positive
soo happy! frustrated time! :] :s. ohh noo!!! britney recording new video radar!!! sooo exxciiteed!!!,positive
wanna know what`s worse... coworker brewed fresh cup coffee think bacon,negative
"oh cool!!!, ok head laydown put ice it, heep swelling down, feel really bad",negative
chris sab = comme estas ****,negative
"many attempts, can`t figure put pic avatar. tell pic big. frustrated trying.......sorry",negative
"yeah, much prefer tweetdeck must multiple account",positive
dyededed hair,neutral
i`m stuck boo!!!! jeeeez shoot,negative
use newsfire. work like charm,positive
look endometriosis. oy!,negative
'i`m giving you. don`t care mess life now.'... :`(,negative
shareeee.,neutral
need yummy breakfast shift,positive
happy mother day grown n happy & lil prego smut lol playing everyone loved.. happy mother day & god bless,positive
love mom dad come visit! nothin better,neutral
- love it! u great job!!,positive
"dad said trip uk cancelled, due da swine flu. ooops! sorry abang.",negative
want alexis bledel back screen every thursday night,neutral
"give birth screamer?? hate screaming children!! guess hate screaming child besides own, now.",negative
"earth happened wentworth`s page?!? i`m devastated, i`m sure fan are!",negative
"ow, rug burn",neutral
place find you`re home- marilyn seria beach,neutral
got wiff pazik fart!,negative
"feeling good all, head work 12-5. bad shift, fun don`t feel well! hope go fast",negative
"hahaha! snoring, too?",positive
: wait till vacation ends! u shud cycling lot then!,neutral
time house chores! ugh!,negative
"come home, then. boring here.",negative
"cute, going daddy?",positive
1 john amazing book. needed brighten mood.,positive
can`t sleep...i keep thinking puppy played today,neutral
nvm got ur message ur sick,neutral
happy mother day. taking mum dinner one favourite restaurant glenelg,positive
notthebest weekend....but oh well....i right sad,negative
sitting home...need pricing garage sale items...but help boring,negative
thanks. end going makino chaya,positive
love <3 host lmao,positive
apparently! haven`t tried site tho. maybe get better results.,positive
noooo! summer?! won`t see charming little face summer?!,negative
know what? cowboy hat pic made smile today (you don`t see many japan),positive
i`m super hungry! waiting biotch feed me.,neutral
seeing `love club` actually made,neutral
"wait - wind hair - would i-l-l-e-g-a-l!! would never break law!! no, never.",positive
"you`re one surprised freetds utf-8 don`t 'just work'. you`ll get right, eventually.",positive
wonderful day...i going sleep well tonight,positive
morning sunshine,neutral
yes... nice. missed lot fun. **** exams. looking good...hair,neutral
hopefully i`ll get see htb next week la really soon!! can`t wait!!!,positive
really want go see ai tonight.,neutral
feel strong contraction want go out.,neutral
pare collection portrait bangbang,neutral
itttt,neutral
"list bananas, leave europe boooo",neutral
"well thats even worse cuz get hurt everyone pain, poor stephen smushed twitter now!",negative
sweeny todd deadset one best movie time,positive
finally managed catch boyfriend skype... sooo happy,positive
"oh, don`t really much opinion either way. it`s night rip everything.",neutral
"got 2 much 2 2nite 2b bored. bath still hav wash, dry, straight hair, get clothes ready etc",neutral
much well!,negative
tried listenin music 4 half hour! tried readin really boring book-still wide awake!,negative
know anne judy,neutral
workman extending r block can`t start early surely.. 7:45am already they`re making racket woken up!,neutral
_lpz yeah text me!!! wnat go!!!!! car broken!!,negative
"waiting danny text back,,, xoxo",neutral
fun 2nite...i pleasantly surprised,positive
teratoma cavity experiencing male-pattern baldness,negative
lucy hating gweg!,negative
oh what`s up?,neutral
"ok, post rny girl learn; rich sugary food bad idea! golden graham bar vending machine. bleck!",negative
found husband`s grandma fell stair & hospital several broken bones...praying hard!,negative
quick thoughts. tired. happy. satisfied. entertained. excited. oh... bit love,neutral
i`m way hungry even think. can`t go work empty stomach like,neutral
"unless mean 2 hour week use sleeping. yeah, suppose could use",neutral
im eating slider barjohnnys! (theyre pork tho beef still search...),neutral
_henrie you?what doing?answer plz,neutral
weird?,negative
arrogant **** tap oregon. what!!!!!!,negative
day,negative
one sunday night helsinki. hadn`t drink anything... xd yeah right!,neutral
morning im ready weeee sunday,neutral
gonna text u ask puff meant!!,neutral
"friend gone. sushi, movies, laughter. needed. fun!",positive
yeah! late hun lol,neutral
"woe, it`s definitely fun travel first class bike. fight way 7 coach `til reach seat",negative
"i`m seeing quite proto-furries here, think it.",neutral
boring? what?! ugh!!! come back then!,negative
haha like that. you`re actually saying thanks bots! never looked like that.,positive
that`s bad affect language run jvm. bad!,negative
"inability manage money, tough job market, they`re getting behind bills. saving bad",negative
run. moon-day bad all...,neutral
"much know coming thursday right, door sale ??",neutral
"yep, exactly i`m really sad tour...i know i`m gonna cry last m&g....",negative
there`s one cherry dr. pepper left fridge...thank god. im addicted stuff sad thing skin.,neutral
_lawrence forget something morning? nearly ran bottom hill! warm shop! x,negative
hey presentation large post! sorry (from rule entities: cataloguing rda live >,negative
safer say cube sphere ... roll buddy ... awesome time ... esp 1st one,positive
"_rankin soy bean teets, soy 'milk' *is milk*.",neutral
"disapointed,good evans, sound really bad, tune",negative
way driver`s training,neutral
i`m baby girl! (in next 17 days!) think i`m gonna keep handy funny stuff!,neutral
kellie: major problem okay. alex: is? kellie: hahahahahahahaa face,positive
left ipod car warm.,positive
workin.,neutral
"season 1 lie serious. ****, come wait.",neutral
know guess hoping they`d revitalize plot line well instead reverting old cliches!,positive
"funny, discussed bela lugosi dinner, apearance plan b outer space 'best' movie ever",positive
mmmmmm mcdonalds coffee soooooo good.....maybe going hookah tonight abbster,positive
slept alarm woke 6 instead 4 feel like complete tool,positive
- great site. photo fantastic. useful visit pembroke (inc skomer) june,positive
"hubby`s vet, `get` animal like children!! best! hope ur biz going well",positive
next time,neutral
_aka_rowan could talking (he`s probably though ;) ),negative
'holy cow' me.,neutral
"lucky girl! also wanna see (again lol) wish they`d come europe again, doubt",neutral
right justin.tv channel: 10 week gf newborn www.justin.tv/kubbur?20,neutral
poor grace!!! need date cute male nurse.,neutral
happiest girl world. best weekend ever can`t wait next weekend either!!! grateful blessings!,positive
wave would trend higher bing,neutral
": what, you`re really alcoholic? v. disappointed! d: seriously, though, got kidding.",negative
watching said so! happy mother day!,positive
1st day work today bit tiring ok lol onto college work,neutral
"wow, mom lot energy. i`m getting tired reading tweet ur living it.",negative
argggggg car crash tv sooooooooo horrible see like,negative
good point!! mine way. get delivered? post pic wen get,positive
trader joe`s 'sushi' fail.,negative
coming tomorrow morning it`s sort impossible task. need clear space. thanks though,neutral
that`s one reason thought 'should kid?' 'nah - let`s get piano instead.' poor bugger,negative
know! ahh! fun!,positive
gotta that?... sad,negative
_ottawa fun!,positive
it`s finished recordings?,neutral
g`night twitterverse! thanks keeping entertained!!,positive
make prank call,neutral
really rather drunk drunk thought - getting work tomorrow?! loz alive?! gandhi read comic books?! never know,neutral
sympathy - 20 minute enough - escape soon,neutral
howz going hun??,neutral
i`m sitting around wanting something ideas?,neutral
"yes! fb, ah miss",negative
"like 'dude. care you.' made smile yea teach drive e, lol",positive
_aguirre wish going,positive
"so, doing? i`m eating crackers! yummy. unsalted one course. salt caviar.",positive
"believe true, fml quite phenomenon...all thx superbad",neutral
haven`t used twitter awhile. bgt!! drawing!! summer!! final,neutral
"omg. got explosion new followers, hello new follower",neutral
since i`ve on.... bogged exams! eugh. least 2 left!! britain got talent!!,neutral
talkin da phone typin da time,neutral
dressed go...,negative
watching 5 child it. really studying. i`ll start soon :[,negative
thank shout heap more. sry night realise,neutral
"ok, i`ve eaten food bored death room. seriously, nothing do. guitar taken venue!",negative
psych better neuro! least better part town? miss,negative
it`s raining fine rain!!! u know fine rain wet,positive
sorry missed post earlier edinburgh. biased towards awesomeness! glad enjoyed visit,neutral
dont want go india,neutral
apparently it`s 21 degree kilkenny now! comedy would great remedy boredom! hell leave kilkenny!?,negative
"lol...oh, man, un-twit something? haha! mean lean mean fighting machine. sooo can`t believe called out!",neutral
wlda seen wit you! dummyhead.,negative
ok idea tomorrow make fun? cause dont know,neutral
i`m going obu night.,neutral
"awesome picture happy pint, it`s sending",positive
u gonna host saturday night live!! i`ve waiting like 2 yearsssssss!!,neutral
doesn`t...sheesh,neutral
"_dinasadik forensic mein kya hai! ba rat te jaao micro?havin micro exam soon,the lab diagnosis individual bacteria!",neutral
_michele sometimes say nice thing time kinda fun *teehee*and i`ll put back well *halo*,neutral
i`ll save,neutral
: got home drew bday.,neutral
"cheer john, thanks following me. look forward twitterings too. think this`ll good place rant ****",positive
i`m proud nau graduate friend!!! we`re getting ready celebrate tonight!!! it`ll international ordeal,positive
currently post business blog check like,neutral
need follow could send direct message.,neutral
said?,neutral
"brazil looooooooves you, miss 24th may, perfect day",positive
_it_good den fell asleep me!!!,positive
tell today! :s it`s last day,neutral
_roe oh well. i`ve never seen anything i`m gonna say anything.,neutral
"chillin rents, looking hilarious old photos. well funny!",positive
getting annoyed co weekend`s going hot. i`m bloody working,negative
yeah ill make sure keep updated.. get delivered,neutral
- brazil??? love too!!,positive
_rockett know! laughed stupid `women`s right`s` joke. wth! glad humor!,positive
cleaning cleaning cleaning today working out! love working!,neutral
guess ill never sad thing u didn`t put alternate e-mail!! cause u dont remember ur secret,negative
ouch! earphone shocked,negative
well one thing lay floor couldn`t them....i`m shape,negative
"haha, 18 :@ ive got one go curse none friend liking tai lol",negative
poor baby girl chloe freaking noise! cute pitiful hiding middle table!,neutral
yeah spammer discriminating: none female part target group apparently,negative
would believe i`m done homework rest life?,neutral
there`s something sexy blonde **** rubbing field,neutral
love it. tell didn`t match shirt perfectly. move please? supposed without you?,positive
sad commentary not?,negative
know exactly saying.. cool... tape better :p,neutral
miss,negative
"law order! yeah, stay home sat nite!",neutral
seesmic desktop seems pretty good. nice find,positive
incredibly great day. hahaha!,positive
awww thank,positive
"dat 1 time & bos text saying, 'tweet n office dis tweeting ova!' havent dun since.",neutral
roughnight,negative
morning! well excited dancing park todayyy! good! wooo c`mon venue! ****,positive
love justin timberlake host snl; hilarious,positive
"buy sleep you, will... that`s need!",positive
rainy day rainy.,neutral
"today 'sonny chance' came brazil, loved it!! you`re amazing <33 please reply",positive
don`t know,neutral
discern request hulu support? excellent idea!,positive
"finally feel like nice summer day, i`m feeling sick",neutral
happy everyone!,positive
listening yultron!!,neutral
: i`m going.,neutral
"yeah, mr. mom`s would say, appreciate wife much avg dad new found respect mother",positive
chapter 27... probably monday. still need comments.,neutral
actually think na release date confirmed september it`s bit wait.,neutral
cat clean again? hope ;) ****,positive
tried calling work 5 time wont answer,negative
"someone edit design called plagiarism right??, do??, i`m tired, exhausted dissapointed",negative
java concurrency practice probably best java book i`ve ever bought. there`s recipe interrupting blocking io ops,positive
want somebody cheer,positive
"wonderful day gorgeous girls, followed dinner drink swede",positive
"7846 - almost catching up, gonna kick ****, woop b joing 10k mile high club soon",negative
aww thanks! indeed graduating friday. 4 final stand freedom...or teach america law school,positive
"empathise luvvie, dont personally understand grown man need dress tartan search little white ball",neutral
woke longest sleep months-so nice! get work done i`m prepped next wk & free k coming home tonight,positive
buckfast. brain went blank,negative
going see angel demon tonight. better scare me!!,neutral
give lulz time time.,neutral
nah didn`t tell diego donminican spot getting ****,negative
keep pulling knitting desk putting back. good! good! t-minus 15 minute till release........,negative
"well yes lol .. chat earlier , willing learn anything else",neutral
_carter video `private cant see,neutral
wow slept dolidh wake,neutral
met him! live !!! go clubbing place lol! dont get twittter,neutral
major iphone problem wont let send text everything else! anyone help,neutral
music collection coming 250gb soon. haha,neutral
too. depresses thinking it.,positive
"yeah, yeah. less current occupant u.s. house reprehensibles. bet that. like minethatbird.",neutral
sitting marshall center w/mina. some1 must really want go gym..this time lost wallet n w/no id cant go,negative
thanks feedback everyone,positive
u funny u right! like bsb im fan u love much better tupac & tlc..2 bad they`re singing anymore,neutral
"hug okay, making sure!",positive
can`t seem find new mountain dew throwback 12 packs....only 1 liter bottle,neutral
damm server still need hit 80 koxpers pa,negative
decided wolf future star trek logo game would much cooler chewy star war,positive
female male 3 year old lab looking new home family loosing home. must stay together. contact interested.,neutral
"takin short nap, gym work kid come back home tonite",neutral
happy mother`s day mom pseudo stepmoms,positive
same! big moth wasp insect general haha hate,negative
that`s great!,positive
sunniest day age im bed,neutral
**** gonna follow son?,negative
"don`t know right now...pretty bored, refuse study. suggestions?",negative
too... go phone night long sometimes phone blowing up... nice wake to!,neutral
pretty sure kitty missed me...one laying 2 side me. cute though.,positive
"bos texted me, day off! yes< yes yes again!",neutral
oh no! dead muffin ... sad,negative
"that`s true. unfortunately, lead movie don`t die high note. it`s friday 13th model",negative
_manford awww thats lovely thing u say u manchester? x,positive
jetway feel like seventh layer hell. oh way many baby flight. forgot bose.,negative
havent west since 07...i think picked bad wknd b/c overcast tho,negative
1st day master cleanse...wish luck,neutral
australian hardcore/metalcore scene amazing right now. look third strike chelsea smile. bmth 7 day,positive
"i`m stuck try-to-merge-two-tools c hell, help framework unless tool already used framework",negative
"think it`s i`m always offtopic sometimes inappropriate (germination 'fruit picking' jokes, etc)",negative
eating truffle yum!,positive
do! may keep shelf rest old camera,neutral
cried like baby put cat 2 year ago... tear happiness watch,positive
hate able see monitor. 25 minute sun blinding,negative
excited see samantha&denise,positive
sunburn itch ouch,negative
"ok, you?",positive
guy look nice,positive
"alright, think it`s time bed...even though i`ll probably surf net another hour go sleep lol! goodnight",positive
awake ?,neutral
"ooc: thanks! ugh...what bad, bad day i`ve had. **** .",negative
watching chelsea lately! loveeeee <3,positive
till ..ice cream!,neutral
"- get bubble tea cambodian new year - year & do, stand line 10-15 min.",neutral
_mills better spider type australian wildlife one would imagine,positive
welcome home babe!,positive
oh forgot cell home thankgod crackberry,neutral
yard house packed. three people deep bar.... went pf changs....got right,neutral
need blankie train icebox,neutral
wish left 4 dead. first i`d need something play on...,neutral
"that`s cause ovie one man team show pen highlights, it`s whole 1 superstar",neutral
"awww ) where`d get that? hugh thin. trace wolverine yet. btw, who`s guy besides rdj?",neutral
"?. pick that, fast can!",neutral
"trivia? working, computer!",neutral
"_bmac knooow, want sail",neutral
"need go atl, mainly go ikea. stuff want isn`t available online.",neutral
bed!! still exhausted vega,negative
used book expo canada (toronto) cancelled year,negative
whole day planned mom today know love!,positive
_thrifty ebay 10 mile rule working me. many pair leather trouser sold aberdeen. try next week.,neutral
trying figure thing...it`s going well,negative
got ur back @ baby!! much love ya!,positive
"living @ alki without off-street parking blows. 3:30p & parking. wkds worst, feel like hostage.",negative
"possible case h1n1 ft. knox (ky) note: info purpose only, there`s still need panic",neutral
start eating healthy,positive
_sandman_ _wounds miss guy much ****,negative
want followers.,neutral
oh cali plan go! might get see da she`s hero rock sock,positive
he! send thru anurag,neutral
finally finished tec recipe card feel somewhat accomplished,positive
"look like full lincoln marathon yesterday? awesome, hm tough",neutral
_aloud hindi flick `99` came couple week ago never made uk,negative
"wow! nice roar, see good thing future",positive
"yesterday didn`t much lazy, today don`t feel good.",negative
certainly warmed mine,neutral
- really love picture!,positive
outlet,neutral
last night awesome! thanks hard work put it! get coffee now...,positive
stomach ache!!! ahhhhhh,negative
life good. much greater thursday 5pm!,positive
could be.,neutral
